;-;complete java connector
;-;complete forum
;-;add sounds
;-;add smooth interpolation
;-;add unit configuration
;-;(Flash)split data object to curr and all
;+;set update timer on flash connector to 100ms
;+;move workers code to classes
!;+;fix canvas error (on 2d drawing)
